頑張る	がんばる
嬉しい	うれしい
汽車	きしゃ
宜しい	よろしい
興味	きょうみ
驚く	おどろく
喧嘩	けんか
絹	きぬ
厳しい	きびしい
故障	こしょう
講義	こうぎ
謝る	あやまる
邪魔	じゃま
趣味	しゅみ
飾る	かざる
尋ねる	たずねる
随分	ずいぶん
是非	ぜひ
盛ん	さかん
先輩	せんぱい
素晴らしい	すばらしい
騒ぐ	さわぐ
駄目	だめ
棚	たな
暖房	だんぼう
致す	いたす
注射	ちゅうしゃ
丁寧	ていねい
釣る	つる
田舎	いなか
踏む	ふむ
濡れる	ぬれる
翻訳	ほんやく
漫画	まんが
味噌	みそ
揺れる	ゆれる
冷房	れいぼう
寂しい	さびしい
包む	くるむ
ご馳走	ごちそう
辞典	じてん
誉める	ほめる
我々	われわれ
訳	やく
屹度	きっと
斯う	こう
此れから	これから
其れ程	それほど
些とも	ちっとも
矢っ張り	やっぱり
矢張り	やはり
可笑しい	おかしい
苛める	いじめる
玩具	おもちゃ
吃驚	びっくり
御	ご
暫く	しばらく
仕舞う	しまう
塵	ごみ
凄い	すごい
積もり	つもり
打つ	ぶつ
到頭	とうとう
筈	はず
又は	または
貰う	もらう
訳	わけ
儘	まま
確り	しっかり
中々	なかなか
喉	のど
酷い	ひどい
痩せる	やせる
然うして	そうして
もう直ぐ	もうすぐ
うっかり	うっかり
お前	おまえ
がっかり	がっかり
きちんと	きちんと
きつい	きつい
こっそり	こっそり
こんなに	こんなに
さっさと	さっさと
さっぱり	さっぱり
ざっと	ざっと
しつこい	しつこい
じっと	じっと
ずっと	ずっと
そっくり	そっくり
そっと	そっと
たっぷり	たっぷり
だらけ	だらけ
ちゃんと	ちゃんと
どうせ	どうせ
どっと	どっと
どんどん	どんどん
どんなに	どんなに
のんびり	のんびり
ぴったり	ぴったり
ぼんやり	ぼんやり
まあ	まあ
オーバー	おーばー
下る	くだる
何とか	なんとか
何とも	なんとも
火山	かざん
外す	はずす
外れる	はずれる
外出	がいしゅつ
学ぶ	まなぶ
気に入る	きにいる
金	きん
見下ろす	みおろす
見上げる	みあげる
今後	こんご
左右	さゆう
週	しゅう
女子	じょし
上	じょう
人間	にんげん
人気	にんき
人生	じんせい
生える	はえる
生じる	しょうじる
先日	せんじつ
大いに	おおいに
大した	たいした
大して	たいして
大半	たいはん
男子	だんし
中学	ちゅうがく
長	ちょう
電子	でんし
読書	どくしょ
年間	ねんかん
年中	ねんじゅう
半ば	なかば
分ける	わける
本人	ほんにん
本来	ほんらい
名人	めいじん
友	とも
友人	ゆうじん
来	らい
一生	いっしょう
行き	いき
年月	としつき
食う	くう
見つめる	みつめる
分かれる	わかれる
生き生き	いきいき
生まれ	うまれ
何で	なんで
中	ちゅう
どうか	どうか
学	がく
あんなに	あんなに
せっせと	せっせと
そんなに	そんなに
社	しゃ
みたい	みたい
間	かん
大	だい
生	せい
後	ご
名	めい
以前	いぜん
以来	いらい
意外	いがい
意思	いし
一体	いったい
一方	いっぽう
引用	いんよう
運	うん
下がる	さがる
家事	かじ
歌手	かしゅ
花火	はなび
画家	がか
会員	かいいん
会計	かいけい
海外	かいがい
開始	かいし
学者	がくしゃ
学習	がくしゅう
学問	がくもん
楽	らく
起こる	おこる
牛	うし
去る	さる
強力	きょうりょく
見事	みごと
見送る	みおくる
言わば	いわば
後者	こうしゃ
公正	こうせい
広場	ひろば
行動	こうどう
高度	こうど
国家	こっか
国会	こっかい
作家	さっか
作業	さぎょう
作品	さくひん
使用	しよう
思わず	おもわず
持ち上げる	もちあげる
自ら	みずから
自動	じどう
室	しつ
質	しつ
借金	しゃっきん
手間	てま
手入れ	ていれ
重大	じゅうだい
